14,26,33,42,46,51,52,55,60,64
17,23,25,38,39,42,56,61,63,64
10,23,30,38,39,51,52,60,61,63
3,4,8,11,16,18,28,33,42,49
4,7,16,17,23,38,41,42,46,65
3,15,18,20,25,27,29,39,42,43
15,18,23,24,31,32,34,49,50,60
24,33,38,39,42,47,48,52,60,63
4,8,18,22,26,38,52,56,60,63
8,10,16,18,22,33,42,48,60,63
14,17,21,25,26,33,46,52,55,60
4,10,13,30,38,39,44,52,60,63
8,13,14,24,32,35,38,39,47,51
2,6,13,18,26,28,31,44,45,63
7,8,18,26,27,32,33,42,52,60
1,11,24,29,32,49,58,59,60,63
4,8,13,22,32,37,42,60,63,65
22,32,33,34,39,42,51,52,60,64
4,8,15,18,20,33,49,58,59,61
3,7,8,13,16,18,22,37,39,42
14,15,24,26,32,42,49,50,52,60
8,13,14,15,34,35,38,42,47,51
7,9,25,26,29,37,42,52,60,65
3,4,9,15,22,28,37,42,46,60
1,5,15,18,23,43,49,52,60,65
4,13,16,20,22,25,42,52,60,65
14,19,25,35,37,38,39,47,60,63
10,12,14,18,38,39,41,43,60,63
9,26,27,29,34,37,38,42,57,60
6,8,14,17,18,26,42,52,60,65
8,14,15,17,18,26,33,42,51,52
19,24,27,28,38,39,42,56,59,63
8,10,14,17,18,26,38,42,60,63
3,8,14,15,18,20,21,22,27,39
3,18,23,24,26,31,32,35,47,65
7,13,16,18,25,26,37,42,60,65
3,17,18,19,30,33,39,42,60,63
4,8,9,11,13,16,33,41,42,52
3,4,11,13,22,29,41,42,52,60
23,38,39,42,56,57,60,61,63,65
3,7,8,14,15,18,26,32,42,60
1,3,7,8,18,25,26,28,33,42
1,19,20,24,25,27,33,36,41,60
10,19,24,28,30,38,39,42,52,60
4,9,13,30,37,39,42,52,60,61
2,10,12,13,33,38,42,47,51,60
2,3,18,20,31,35,37,48,60,65
6,10,15,17,33,38,43,44,52,60
2,4,8,14,28,35,37,39,48,60
6,8,16,19,26,27,38,52,60,63
17,18,19,23,26,28,29,32,58,59
4,8,13,18,22,42,58,59,60,65
8,14,16,18,26,33,42,51,52,60
10,14,18,23,38,39,43,57,60,63
19,29,32,38,39,56,59,60,61,63
5,7,16,38,39,42,52,53,60,61
3,15,16,21,27,28,29,31,34,42
8,22,23,25,29,30,32,39,52,60
3,8,13,15,22,23,28,31,42,59
19,24,28,38,39,42,55,59,60,63
7,14,15,18,23,29,42,49,50,60
1,2,9,10,12,18,29,35,38,47
8,17,25,38,39,43,52,58,59,63
7,8,11,14,15,16,22,39,52,53
6,8,14,17,18,22,26,33,42,60
8,13,14,18,21,22,24,27,28,38
1,5,11,38,41,52,58,60,64,65
3,18,23,24,27,29,31,34,42,60
6,8,14,18,22,26,33,42,52,60
2,5,10,23,38,39,42,60,61,63
6,12,30,42,45,47,53,60,63,64
3,11,19,20,28,39,60,61,63,65
6,8,14,15,17,18,22,26,33,42
19,21,28,38,39,56,59,60,61,63
3,4,18,22,23,31,34,46,52,63
8,10,15,16,18,24,42,49,51,60
2,10,28,30,31,42,53,60,63,65
8,14,16,26,27,39,41,42,51,60
5,8,26,27,29,32,34,38,52,60
8,19,20,22,25,41,52,58,59,63
4,8,11,16,18,33,38,41,52,60
4,19,24,25,26,29,33,38,60,63
3,5,11,14,18,19,21,24,31,60
4,16,23,24,28,34,42,47,48,56
4,7,8,11,18,33,52,58,59,60
3,15,16,23,24,25,26,28,31,42
2,6,10,13,14,26,44,45,60,63
4,8,15,17,18,33,42,52,56,60
6,10,12,13,42,46,47,51,53,60
3,4,6,14,18,25,26,28,33,42
10,12,26,31,33,38,42,48,60,65
2,13,24,32,34,38,48,52,58,60
10,13,15,16,24,32,34,42,47,52
1,11,14,19,24,28,47,48,58,59
10,13,30,38,39,42,48,52,60,63
4,8,9,22,25,32,34,42,51,60
1,11,16,24,27,28,29,32,58,59
7,15,16,23,25,26,28,38,60,65
7,19,20,29,32,38,43,44,60,65
1,14,16,22,24,26,31,34,38,39
