60,6,63,62,30,53,54,37,14,17
62,60,54,51,9,30,13,14,17,63
60,63,14,17,30,33,53,6,9,37
60,54,51,14,17,4,30,63,33,6
60,53,13,9,6,62,4,33,30,63
60,62,53,63,30,37,54,14,17,22
60,6,63,62,30,18,25,14,53,17
60,54,63,4,33,37,30,14,25,6
60,62,63,53,30,14,17,18,33,37
62,60,6,63,37,14,17,54,53,30
60,62,63,30,6,14,53,17,4,61
62,60,54,51,37,63,53,30,6,14
60,62,30,63,37,6,53,54,64,9
62,60,9,6,53,13,30,14,63,17
62,60,63,30,54,53,6,33,14,17
60,6,53,14,30,63,17,54,37,44
60,62,63,30,6,53,54,37,22,47
60,63,30,62,6,14,17,53,37,33
60,62,63,9,13,30,53,14,33,6
62,60,13,9,63,6,4,30,33,53
60,62,63,53,37,33,30,14,54,17
62,60,6,30,14,17,63,53,4,18
60,63,30,53,54,37,4,14,22,33
60,62,6,63,30,53,54,18,14,17
62,60,53,63,30,14,17,6,54,37
60,62,6,30,53,63,14,17,54,33
60,6,62,63,30,14,53,17,54,37
62,60,33,4,63,14,30,17,53,6
60,14,17,63,30,6,53,37,35,54
60,62,54,51,14,30,6,17,37,63
60,37,53,63,6,30,9,4,14,13
60,62,30,63,54,14,17,51,37,53
60,9,13,63,30,62,4,33,14,53
60,62,14,63,53,17,30,54,37,13
62,60,63,30,6,54,53,14,33,17
60,62,63,30,53,9,37,33,54,6
60,9,13,63,6,30,25,18,37,53
60,4,33,62,63,25,6,30,53,18
60,62,53,63,54,30,6,9,14,37
60,63,30,54,37,14,4,17,6,53
60,62,6,63,53,54,30,37,14,17
60,62,63,30,53,37,4,54,6,33
60,62,6,9,13,53,17,63,14,54
60,62,4,63,37,33,30,22,25,9
60,62,63,53,30,6,14,54,37,17
60,6,63,30,62,4,14,53,17,33
60,62,25,63,18,6,30,14,17,53
60,62,63,30,14,6,53,17,54,8
60,63,30,37,6,53,14,17,9,13
60,62,6,13,9,63,51,54,30,33
60,18,6,54,62,14,25,63,4,37
60,62,6,30,63,53,14,37,17,54
60,62,13,9,33,4,63,30,53,18
60,54,63,30,51,53,6,37,22,8
60,62,6,63,37,14,17,30,53,54
60,62,6,53,63,54,30,33,14,37
60,54,51,62,14,53,17,37,63,30
60,62,53,63,33,4,30,6,14,25
60,14,18,62,63,17,37,30,25,53
62,60,13,9,63,30,25,6,17,14
62,60,53,54,33,6,4,63,25,30
62,60,9,13,4,63,33,14,53,17
60,62,54,51,63,6,30,53,37,18
60,63,62,30,53,37,14,6,17,9
60,63,62,30,14,53,17,54,37,6
60,13,9,14,4,63,33,17,30,7
60,6,63,62,30,14,53,37,17,35
60,63,53,30,54,6,14,37,17,22
60,63,6,30,62,53,14,37,17,4
60,62,63,30,37,54,6,9,53,17
62,60,63,14,17,30,53,37,64,54
60,63,54,51,30,53,62,14,17,4
60,62,63,30,53,14,6,17,37,18
60,4,33,37,63,30,53,62,9,8
60,62,14,17,63,30,33,53,54,4
60,62,53,6,63,30,14,17,54,4
60,6,62,9,4,63,13,53,30,54
60,62,63,30,53,14,17,54,6,37
60,4,33,62,14,63,17,53,30,25
60,62,6,63,53,30,17,14,4,54
60,62,63,53,33,30,6,54,4,14
60,30,63,53,14,6,17,37,54,22
60,62,63,18,25,30,14,17,53,37
60,30,62,63,53,6,4,54,33,18
60,62,14,63,53,54,17,30,6,25
60,62,13,9,53,63,6,14,54,30
60,6,63,30,14,17,53,9,37,4
60,62,63,53,14,30,13,37,17,33
60,62,63,30,6,14,54,22,17,37
62,60,4,33,63,6,14,17,30,37
60,62,63,30,6,14,17,37,53,18
60,63,53,18,30,25,6,54,52,44
62,60,63,6,14,17,30,4,25,53
60,4,33,63,62,14,30,17,53,6
60,4,33,63,62,30,9,14,53,54
60,6,63,14,30,17,53,54,44,37
60,62,63,14,17,6,30,54,22,53
60,6,53,63,62,30,54,14,37,22
62,60,51,54,14,17,30,63,37,9
60,63,62,53,30,14,17,37,6,54
